lag specification,ridge_mae,ridge_mase,gbm_mase
oracle (true lead times),45.30268808861433,0.7488919334788401,0.8984219856910343
scan on train window only,49.94101591567752,0.8255674342288951,0.956143512687287
scan on full series (leak),48.44348905730564,0.800812042623679,0.9448234823418572
flat lag = 3 (no selection),47.35215153603436,0.7827713059507428,0.8997211945993782
flat lag = 1 (no selection),49.62667327169475,0.8203710831875036,0.9336296618182592
