model,n,precision,recall,f1,tp,fp,fn,tn
ridge,59,0.6428571428571429,0.6,0.6206896551724138,9,5,6,39
gbm,59,0.7272727272727273,0.5333333333333333,0.6153846153846153,8,3,7,41
seasonal_naive,59,0.5555555555555556,0.6666666666666666,0.606060606060606,10,8,5,36
